022-07-22 15:24:49.975899 start
2022-07-22 15:24:50.991578 rest
2022-07-22 15:25:20.993591 red
2022-07-22 15:25:21.993680 attention
2022-07-22 15:25:26.996830 rest
2022-07-22 15:25:31.997179 red
2022-07-22 15:25:32.997232 attention
2022-07-22 15:25:37.997568 rest
2022-07-22 15:25:42.997905 red
2022-07-22 15:25:43.997980 attention
2022-07-22 15:25:48.998307 rest
2022-07-22 15:25:53.998642 red
2022-07-22 15:25:54.998724 attention
2022-07-22 15:25:59.995213 rest
2022-07-22 15:26:05.000906 red
2022-07-22 15:26:05.991466 attention
2022-07-22 15:26:10.991817 rest
2022-07-22 15:26:15.989242 green
2022-07-22 15:26:16.989288 attention
2022-07-22 15:26:21.993396 rest
2022-07-22 15:26:26.993730 green
2022-07-22 15:26:27.993797 attention
2022-07-22 15:26:32.994137 rest
2022-07-22 15:26:37.996452 green
2022-07-22 15:26:38.999861 attention
2022-07-22 15:26:43.989868 rest
2022-07-22 15:26:48.994808 green
2022-07-22 15:26:49.994880 attention
2022-07-22 15:26:54.999944 rest
2022-07-22 15:27:00.000285 green
2022-07-22 15:27:01.000337 attention
2022-07-22 15:27:06.000677 rest
2022-07-22 15:27:10.991778 blue
2022-07-22 15:27:11.991844 attention
2022-07-22 15:27:16.992182 rest
2022-07-22 15:27:21.992515 blue
2022-07-22 15:27:22.992582 attention
2022-07-22 15:27:27.992921 rest
2022-07-22 15:27:32.992870 blue
2022-07-22 15:27:33.994941 attention
2022-07-22 15:27:38.995280 rest
2022-07-22 15:27:43.995630 blue
2022-07-22 15:27:44.995681 attention
2022-07-22 15:27:49.989005 rest
2022-07-22 15:27:54.989324 blue
2022-07-22 15:27:55.996590 attention
2022-07-22 15:28:00.995115 rest
2022-07-22 15:28:05.995471 end
