C:\Users\smuid\PycharmProjects\pythonProject\venv\Scripts\python.exe C:/Users/smuid/PycharmProjects/pythonProject/main.py
2022-07-05 14:03:26.843653 start
2022-07-05 14:03:27.858215 rest
2022-07-05 14:03:57.865057 red
2022-07-05 14:03:58.865122 rest
2022-07-05 14:04:03.854548 red
2022-07-05 14:04:04.862093 rest
2022-07-05 14:04:09.866220 red
2022-07-05 14:04:10.866275 rest
2022-07-05 14:04:15.863844 red
2022-07-05 14:04:16.854636 rest
2022-07-05 14:04:21.859523 red
2022-07-05 14:04:22.861944 rest
2022-07-05 14:04:27.854496 green
2022-07-05 14:04:28.853615 rest
2022-07-05 14:04:33.863399 green
2022-07-05 14:04:34.863452 rest
2022-07-05 14:04:39.858988 green
2022-07-05 14:04:40.859032 rest
2022-07-05 14:04:45.867395 green
2022-07-05 14:04:46.856075 rest
2022-07-05 14:04:51.862555 green
2022-07-05 14:04:52.862611 rest
2022-07-05 14:04:57.856540 blue
2022-07-05 14:04:58.858615 rest
2022-07-05 14:05:03.853928 blue
2022-07-05 14:05:04.854002 rest
2022-07-05 14:05:09.865381 blue
2022-07-05 14:05:10.867771 rest
2022-07-05 14:05:15.865395 blue
2022-07-05 14:05:16.865975 rest
2022-07-05 14:05:21.857369 blue
2022-07-05 14:05:22.862104 rest
2022-07-05 14:05:27.854177  end
